87.248.116.11,443,80
87.248.116.12,443,80
87.248.116.13,80,443
87.248.116.14,443,80
87.248.116.152,443
87.248.116.154,80,443
87.248.116.156,443,80
87.248.116.200,443,80
87.248.116.201,443,80
87.248.116.202,443,80
87.248.116.203,80,443
87.248.116.205,80,443
87.248.116.88,80,443
87.248.116.89,443,80
87.248.116.90,80,443
87.248.116.91,80,443
87.248.116.92,80,443
87.248.116.93,80,443
87.248.117.16,443,80
87.248.117.168,443,80
87.248.117.169,80,443
87.248.117.17,443,80
87.248.117.170,443,80
87.248.117.171,443,80
87.248.117.172,443,80
87.248.117.173,80,443
87.248.117.18,443,80
87.248.117.19,443,80
87.248.117.21,80,443
87.248.117.80,80,443
87.248.117.81,443,80
87.248.117.82,443,80
87.248.117.83,443,80
87.248.117.84,443,80
87.248.117.85,80,443
