aws.myteksi.net,52.74.169.17
fish.myteksi.net,52.76.53.196
gandalf.myteksi.net,52.74.247.22
graph.myteksi.net,52.74.157.208
id.myteksi.net,139.255.54.83
my.myteksi.net,121.120.108.114
oncall.myteksi.net,54.255.147.51
ops.myteksi.net,52.74.168.70
ph.myteksi.net,180.232.69.202
sg.myteksi.net,118.189.98.114
th.myteksi.net,58.97.86.34
